injection_position,path,path_length,strength,start,end
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ccg,5,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.009517]",ACAd2/3,ccg
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→RSPagl6a→RSPagl5→RSPagl2/3→RSPagl1,8,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.015872, 0.015547, 0.012412, 0.015084]",ACAd2/3,RSPagl1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→RSPagl6a→RSPd6a→RSPd5→RSPd2/3→RSPd1,8,"[0.182779, 0.128518, 0.04085, 0.02001, 0.015872, 0.013615, 0.017302, 0.014185, 0.019158]",ACAd2/3,RSPd1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→SSp-ll6a,5,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.00491]",ACAd2/3,SSp-ll6a
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→VISa4→VISa2/3→VISa1→SSp-tr1,11,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.009794, 0.007587, 0.004256, 0.004109]",ACAd2/3,SSp-tr1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→RSPagl6a→RSPd6a→RSPagl5→RSPd5→RSPd2/3→RSPagl2/3→RSPagl1→VISa1→SSp-tr1→SSp-ul1,13,"[0.182779, 0.128518, 0.04085, 0.02001, 0.015872, 0.013615, 0.015547, 0.017302, 0.014185, 0.012412, 0.015084, 0.004256, 0.004109, 0.009384]",ACAd2/3,SSp-ul1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOp5→MOp2/3→MOp1,5,"[0.182779, 0.128518, 0.04085, 0.008531, 0.006567, 0.008683]",ACAd2/3,MOp1
ACAd2/3,ACAd2/3→MOs2/3→MOs5→MOs6a→MOp6a→SSp-ll6a→SSp-ll5→SSp-ul5→SSp-ul4→SSp-ul2/3→SSp-ul1→SSp-un1,11,"[0.182779, 0.060765, 0.04085, 0.02001, 0.012381, 0.00491, 0.003103, 0.005675, 0.008003, 0.005949, 0.009384, 0.011383]",ACAd2/3,SSp-un1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→MOp5→SSp-ll5,6,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.008531, 0.003103]",ACAd2/3,SSp-ll5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBvl6a→ORBvl5→ORBl5,7,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.00202, 0.008875, 0.002231]",ACAd2/3,ORBl5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBvl6a,5,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.00202]",ACAd2/3,ORBvl6a
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBvl6a→ORBvl5→ORBvl2/3→ORBvl1,8,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.00202, 0.008875, 0.009429, 0.024118]",ACAd2/3,ORBvl1
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→RSPagl6a→RSPd6a→RSPd5,6,"[0.182779, 0.128518, 0.04085, 0.02001, 0.015872, 0.013615, 0.017302]",ACAd2/3,RSPd5
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→RSPagl6a→RSPagl5→RSPagl2/3,7,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.015872, 0.015547, 0.012412]",ACAd2/3,RSPagl2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ILA6a→DP,5,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006304, 0.008538]",ACAd2/3,DP
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→ACAd6b→cing→ACAv6b,5,"[0.182779, 0.128518, 0.042455, 0.027825, 0.011859, 0.011178]",ACAd2/3,ACAv6b
