,gene,importance
5244,Gpr151,0.015890229386404213
3210,Dbh,0.01580913703164969
1737,Calca,0.014460797894676051
1649,C1ql4,0.014306503568978349
4965,Gbx1,0.014283616668775447
2378,Cfap58,0.014253081413549803
2394,Cga,0.01416092000610937
83,AC166344.1,0.013594849888597616
4184,Evx1os,0.013469330832834907
2459,Chodl,0.013204303103168943
5302,Gpx2,0.01304988163562389
221,Abi3bp,0.012962223070425168
2483,Chrnb4,0.012737681834464854
5458,Gulo,0.012608587405560336
5139,Gnb3,0.01252667145763593
2407,Chat,0.012506826433753043
1977,Ccdc42,0.012415870570888698
4723,Foxb1,0.012197664240072074
1738,Calcb,0.012169414541424619
4584,Fev,0.012019167326297788
4587,Fezf1,0.011722745464840579
4560,Fcmr,0.011709231539085204
2849,Cox8b,0.011179659966061867
4944,Gata3,0.01083521800821007
2477,Chrna6,0.010655901219884346
4892,Gal,0.010518817626480699
4000,En1,0.010248623966412185
2474,Chrna3,0.010054522724441583
4183,Evx1,0.009918426835238234
5104,Glra1,0.009792327035882448
5040,Ghrh,0.009727747964226097
1383,Barhl1,0.009607308908389973
2026,Cckar,0.009473888183155608
5544,Hbq1b,0.009292064668462495
4763,Frem3,0.009092885565859361
4722,Foxa2,0.009013775648438789
4528,Fbxo40,0.008930911670464859
3762,Ebf2,0.008865357425835236
3063,Ctxn3,0.00877841841729817
3670,Dsp,0.00862847766472121
4881,Gabrr2,0.008473630005524011
5390,Gsta2,0.008443708335174056
5558,Hcrt,0.008270238224008568
3763,Ebf3,0.008204880999763697
2953,Cryba2,0.00819909734142616
529,Ahnak2,0.008105833938558293
181,Abcc12,0.007887302057611189
66,AC160336.1,0.00782189698383854
520,Agtr2,0.007820295631110717
3132,Cyp2f2,0.007751848593541052
374,Adamts19,0.007686373633966468
2099,Cd209f,0.0075961397359726535
2118,Cd4,0.0075506328501596534
4966,Gbx2,0.00739630971573416
670,Amhr2,0.007361573711633087
1751,Calr4,0.007202840890804347
4772,Frmd7,0.007202800734172334
4728,Foxd3,0.007169363467143681
5487,H2-Q2,0.007065634721316331
2922,Crh,0.007015607821516955
5305,Gpx6,0.006960090991306279
2894,Crabp1,0.00690651033064074
1646,C1ql1,0.006859971160469093
1608,Bsx,0.006851430335556298
2472,Chrna10,0.006723565838106723
2198,Cdh23,0.0066100714619668054
3125,Cyp26a1,0.006589113979311369
2551,Cldn1,0.00654880935415067
3761,Ebf1,0.006501876968659984
5242,Gpr149,0.0064487992945502625
4139,Esm1,0.006405403021528014
1736,Calb2,0.006342537518139995
2540,Clca3a1,0.0063138189893605975
4974,Gchfr,0.006303380582971361
5152,Gng8,0.0062499534291518295
1479,Bglap,0.006167014598821707
5452,Gucy2c,0.006166397631183396
5375,Gsc,0.006157831495478691
4037,Eomes,0.006111395329524397
2039,Ccl7,0.006062369214510822
1481,Bglap3,0.006012818808378424
5573,Hdc,0.005980435503190986
1384,Barhl2,0.005962960079410928
2207,Cdhr1,0.005961096547619869
5349,Grin3b,0.0058282558968654734
5165,Gnrh1,0.005812701522776718
1271,Avp,0.00579549524207673
4776,Frmpd1os,0.00573561675694912
5093,Glipr1,0.005688149917003237
2476,Chrna5,0.0056735851111090144
3587,Doc2g,0.005598948625935233
3251,Dcn,0.005592270917223717
4299,Fam159a,0.00555938155106124
4380,Fam227b,0.005551311480898182
2035,Ccl3,0.005519009363089301
1831,Cartpt,0.005484650587389199
1075,Asb4,0.005444888968926224
3128,Cyp2a5,0.00543748749822859
2864,Cplx3,0.005391225124106211
5126,Gna14,0.005363620054092778
771,Ano2,0.005350307907022945
2611,Clspn,0.005320971748544798
2610,Clrn1,0.0053162282180494016
3467,Dlk1,0.005298440801459493
2482,Chrnb3,0.005294071652651074
1273,Avpr1a,0.005242017944192262
5546,Hc,0.005183831005199627
1695,Cabp7,0.005156521025449883
5275,Gpr50,0.005154869585101888
4423,Fam81b,0.005141754649171054
3138,Cyp39a1,0.005099622258270516
