start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
351,802,351→1009→802,2,21,BST→fiber tracts→sm,BST
351,436,351→1009→436,2,5,BST→fiber tracts→fx,BST
351,351,351,0,2,BST,BST
351,15,351→1009→436→802→549→15,5,10,BST→fiber tracts→fx→sm→TH→PT,BST
351,477,351→477,1,1,BST→STR,BST
351,1009,351→1009,1,8,BST→fiber tracts,BST
351,900,351→900,1,1,BST→aco,BST
351,129,351→908→1009→129,3,19,BST→act→fiber tracts→V3,BST
351,266,351→477→266,2,2,BST→STR→LSv,BST
351,258,351→477→266→258,3,3,BST→STR→LSv→LSr,BST
351,581,351→900→908→1009→129→581,5,8,BST→aco→act→fiber tracts→V3→TRS,BST
351,310,351→477→310,2,10,BST→STR→SF,BST
351,149,351→900→908→1009→129→149,5,8,BST→aco→act→fiber tracts→V3→PVT,BST
351,362,351→900→908→1009→129→149→15→362,7,20,BST→aco→act→fiber tracts→V3→PVT→PT→MD,BST
351,908,351→900→908,2,8,BST→aco→act,BST
351,997,351→477→436→581→129→997,5,34,BST→STR→fx→TRS→V3→root,BST
351,803,351→803,1,12,BST→PAL,BST
351,549,351→803→802→549,3,16,BST→PAL→sm→TH,BST
351,81,351→477→81,2,11,BST→STR→VL,BST
351,1097,351→1097,1,1,BST→HY,BST
351,672,351→477→266→258→98→81→672,6,8,BST→STR→LSv→LSr→SEZ→VL→CP,BST
351,428,351→908→287→1009→436→428,5,5,BST→act→BAC→fiber tracts→fx→mct,BST
351,10703,351→477→436→581→129→10703,5,39,BST→STR→fx→TRS→V3→DG-mo,BST
351,982,351→908→287→1009→436→428→549→149→15→362→186→802→997→10703→382→982,15,20,BST→act→BAC→fiber tracts→fx→mct→TH→PVT→PT→MD→LH→sm→root→DG-mo→CA1→FC,BST
351,108,351→1009→802→129→108,4,25,BST→fiber tracts→sm→V3→chpl,BST
351,632,351→908→287→1009→436→428→549→149→129→997→10703→632,11,30,BST→act→BAC→fiber tracts→fx→mct→TH→PVT→V3→root→DG-mo→DG-sg,BST
351,466,351→803→1009→802→549→1096→1113→907→362→575→155→997→603→466,13,33,BST→PAL→fiber tracts→sm→TH→AMd→IAD→PCN→MD→CL→LD→root→fi→alv,BST
