start_node,end_node,path,path_length,edges_used
351,802,351→802,1,3
351,436,351→436,1,4
351,351,351,0,1
351,15,351→436→802→15,3,5
351,900,351→900,1,1
351,129,351→129,1,12
351,266,351→266,1,1
351,258,351→266→258,2,2
351,581,351→310→436→129→581,4,5
351,310,351→266→310,2,6
351,149,351→900→908→436→428→129→149,6,6
351,362,351→802→362,2,11
351,908,351→900→908,2,6
351,262,351→802→262,2,3
351,672,351→266→258→672,3,7
351,428,351→908→287→436→428,4,4
351,10703,351→908→287→436→581→129→10703,6,23
351,982,351→908→287→436→428→149→15→362→186→802→10703→382→982,12,15
351,108,351→802→129→108,3,15
351,632,351→908→287→436→428→15→149→129→10703→632,9,24
351,466,351→802→1096→1113→907→362→575→155→603→466,9,19
,,No valid edges,0,0
802,802,802,0,1
436,436,436,0,1
802,262,802→262,1,1
262,262,262,0,2
802,1096,802→1096,1,1
802,1104,802→1104,1,1
802,255,802→1096→255,2,2
802,436,802→436,1,1
802,64,802→1096→255→64,3,3
802,900,802→436→908→900,3,3
802,351,802→351,1,1
351,1096,351→802→1096,2,2
15,15,15,0,1
351,1104,351→802→262→1104,3,18
351,255,351→802→1096→255,3,16
802,603,802→1096→255→603,3,5
802,266,802→351→266,2,2
802,56,802→351→266→56,3,3
351,98,351→266→258→98,3,7
351,814,351→802→266→581→310→258→98→597→814,8,10
802,108,802→1096→255→603→108,4,6
351,159,351→802→266→581→310→258→98→814→159,8,10
351,484682516,351→266→581→310→258→98→1108→484682516,7,33
351,1108,351→266→581→310→258→250→98→1108,7,16
351,940,351→266→258→672→940,4,8
262,802,262→802,1,1
262,436,262→802→436,2,3
262,266,262→802→266,2,3
262,1104,262→802→1104,2,3
262,351,262→351,1,2
262,672,262→629→1104→255→310→258→672,6,12
262,108,262→802→351→266→108,4,4
262,1096,262→802→1104→1096,3,3
262,15,262→351→802→15,3,3
262,258,262→351→266→258,3,3
262,310,262→351→266→258→564→310,5,5
262,564,262→351→266→258→564,4,4
262,129,262→351→129,2,4
262,452,262→351→266→258→564→310→436→452,7,8
262,98,262→351→266→258→98,4,4
262,940,262→351→266→258→98→940,5,5
262,363,262→351→266→258→98→940→1081→1054→827→363,9,11
262,333,262→351→266→258→333,4,4
262,1108,262→351→266→258→333→1108,5,8
1096,1096,1096,0,2
1096,1104,1096→1104,1,2
1096,629,1096→1113→362→575→255→629,5,7
1096,1113,1096→1113,1,1
1096,255,1096→255,1,8
1096,64,1096→255→64,2,4
1096,262,1096→1104→262,2,10
1096,362,1096→1113→362,2,2
1096,351,1096→1104→255→351,3,3
1096,575,1096→1113→362→575,3,4
1096,218,1096→1113→362→575→155→218,5,7
1096,155,1096→1113→362→575→255→155,5,7
1096,1020,1096→1113→362→575→155→218→560581551→1020,7,9
1096,603,1096→255→603,2,4
1096,15,1096→1113→15,2,4
1096,718,1096→1113→362→575→255→629→718,6,11
1096,6,1096→1113→362→575→255→262→6,6,11
1096,1022,1096→1113→362→575→255→262→6→1022,7,12
1096,672,1096→1113→362→575→255→629→718→1092→262→6→1022→672,11,16
1104,1104,1104,0,1
1104,262,1104→262,1,1
1104,1096,1104→1096,1,1
1104,802,1104→1096→802,2,2
1104,15,1104→1096→15,2,3
1104,629,1104→629,1,1
1104,255,1104→1096→255,2,2
1104,672,1104→255→310→258→672,4,14
1104,266,1104→1096→802→266,3,3
1104,351,1104→262→802→351,3,4
1104,258,1104→1096→15→436→266→258,5,6
1104,581,1104→1096→802→266→581,4,4
1104,436,1104→262→802→351→287→436,5,5
1104,685,1104→262→685,2,2
436,802,436→802,1,1
436,15,436→802→15,2,3
436,351,436→351,1,3
436,1113,436→802→15→1113,3,4
436,310,436→802→581→310,3,3
436,129,436→802→129,2,2
436,908,436→351→908,2,2
436,266,436→351→266,2,6
436,1096,436→802→15→1113→1096,4,5
436,900,436→351→908→900,3,3
436,581,436→802→129→581,3,3
436,428,436→428,1,5
436,149,436→428→149,2,6
436,258,436→802→581→310→258,4,5
436,10703,436→428→149→15→362→802→10703,6,14
436,287,436→351→908→287,3,5
436,255,436→351→802→255,3,4
436,430,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430,13,27
436,542,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430→542,14,30
436,687,436→428→149→15→362→802→10703→382→466→484682516→940→590→687,12,28
436,590,436→428→149→15→362→802→10703→382→466→484682516→940→590,11,27
436,484682516,436→428→149→15→362→802→10703→382→466→484682516,9,23
436,672,436→351→266→258→672,4,12
436,940,436→428→149→15→362→802→10703→382→466→484682516→940,10,24
436,250,436→351→266→258→250,4,10
436,466,436→428→149→15→362→802→10703→382→466,8,22
436,382,436→428→149→15→362→802→10703→382,7,22
436,443,436→428→149→15→362→802→10703→382→466→443,9,24
436,564,436→310→258→564,3,8
