start_node,end_node,path,path_length,edges_used
351,802,351→1009→802,2,21
351,436,351→1009→436,2,5
351,351,351,0,2
351,15,351→1009→436→802→549→15,5,10
351,477,351→477,1,1
351,1009,351→1009,1,8
351,900,351→900,1,1
351,129,351→908→1009→129,3,19
351,266,351→477→266,2,2
351,258,351→477→266→258,3,3
351,581,351→900→908→1009→129→581,5,8
351,310,351→477→310,2,10
351,149,351→900→908→1009→129→149,5,8
351,362,351→900→908→1009→129→149→15→362,7,20
351,908,351→900→908,2,8
351,997,351→477→436→581→129→997,5,34
351,803,351→803,1,12
351,549,351→803→802→549,3,16
351,81,351→477→81,2,11
351,1097,351→1097,1,1
351,672,351→477→266→258→98→81→672,6,8
351,428,351→908→287→1009→436→428,5,5
351,10703,351→477→436→581→129→10703,5,39
351,982,351→908→287→1009→436→428→549→149→15→362→186→802→997→10703→382→982,15,20
351,108,351→1009→802→129→108,4,25
351,632,351→908→287→1009→436→428→549→149→129→997→10703→632,11,30
351,466,351→803→1009→802→549→1096→1113→907→362→575→155→997→603→466,13,33
1097,797,1097→1009→797,2,2
1097,549,1097→1009→802→549,3,4
1097,1009,1097→1009,1,1
1097,802,1097→1009→802,2,2
1097,351,1097→1009→351,2,2
1097,436,1097→1009→436,2,2
1097,262,1097→1009→802→549→262,4,5
1097,1097,1097,0,1
1097,1096,1097→1009→802→549→1096,4,5
1097,1104,1097→1009→802→549→1104,4,7
1097,477,1097→1009→477,2,8
1097,255,1097→1009→802→549→1096→255,5,6
1097,581,1097→1009→477→266→581,4,9
1097,266,1097→1009→477→266,3,9
1097,64,1097→1009→802→549→1096→255→64,6,9
1097,258,1097→1009→477→266→581→310→258,6,13
1097,15,1097→1009→549→15,3,4
1097,997,1097→1009→802→549→1096→255→997,6,11
1097,603,1097→1009→802→549→1096→255→997→603,7,13
1097,81,1097→1009→477→81,3,10
1097,672,1097→1009→477→81→672,4,21
1097,56,1097→1009→351→477→266→56,5,9
1097,698,1097→1009→477→698,3,20
1097,814,1097→1009→477→698→597→814,5,22
1097,98,1097→1009→477→98,3,12
1097,159,1097→1009→477→81→98→698→159,6,20
1097,484682516,1097→1009→477→81→98→1108→484682516,6,23
1097,1108,1097→1009→477→81→98→1108,5,20
1097,940,1097→1009→477→81→98→1108→484682516→940,7,22
549,549,549,0,1
549,262,549→262,1,1
549,1009,549→1009,1,3
549,802,549→802,1,4
549,436,549→802→436,2,10
549,266,549→1009→477→266,3,9
549,1104,549→1104,1,5
549,351,549→1009→351,2,4
549,672,549→1009→477→672,3,12
549,108,549→1009→477→81→108,4,14
549,81,549→1009→351→477→81,4,13
549,1096,549→1104→1096,2,8
549,15,549→1009→802→15,3,8
549,258,549→1009→351→477→266→258,5,9
549,310,549→1009→351→477→310,4,14
549,477,549→1009→351→477,3,9
549,564,549→1009→351→477→266→258→564,6,10
549,129,549→1009→351→997→129,4,8
549,997,549→1009→351→997,3,7
549,452,549→1009→452,2,11
549,98,549→1009→477→266→258→98,5,11
549,956,549→1009→351→477→98→956,5,13
549,363,549→1009→351→477→98→956→940→1081→1054→827→363,10,20
549,698,549→1009→477→698,3,12
549,333,549→1009→351→477→333,4,9
549,1108,549→1009→351→477→1108,4,10
1096,1096,1096,0,2
1096,1104,1096→1104,1,3
1096,629,1096→1113→362→575→255→629,5,7
1096,1113,1096→1113,1,3
1096,255,1096→255,1,10
1096,549,1096→549,1,1
1096,64,1096→255→64,2,4
1096,362,1096→1113→362,2,2
1096,351,1096→1104→255→351,3,3
1096,575,1096→1113→362→575,3,4
1096,218,1096→1113→362→575→155→218,5,8
1096,155,1096→1113→362→575→255→155,5,7
1096,262,1096→549→262,2,7
1096,1020,1096→1113→362→575→155→218→560581551→1020,7,10
1096,603,1096→255→997→603,3,5
1096,15,1096→549→15,2,5
1096,718,1096→1113→362→575→255→629→718,6,11
1096,6,1096→1113→362→575→255→549→262→803→6,8,13
1096,1022,1096→1113→362→575→255→549→262→803→1022,8,15
1096,803,1096→1113→362→575→255→549→262→803,7,13
1096,672,1096→1113→362→575→255→629→718→1092→262→6→1022→672,11,16
1104,1104,1104,0,1
1104,262,1104→549→262,2,2
1104,1096,1104→1096,1,1
1104,802,1104→1096→549→802,3,3
1104,15,1104→1096→549→15,3,4
1104,629,1104→629,1,1
1104,255,1104→1096→255,2,2
1104,672,1104→549→81→672,3,15
1104,1009,1104→1096→549→802→1009,4,4
1104,549,1104→549,1,1
1104,266,1104→1096→549→802→1009→477→266,6,9
1104,477,1104→1096→549→802→1009→477,5,5
1104,351,1104→549→802→1097→351,4,7
1104,258,1104→1096→549→436→477→266→258,6,10
1104,803,1104→549→802→1097→803,4,7
1104,581,1104→1096→549→802→1009→477→266→581,7,8
1104,436,1104→549→802→351→287→1009→436,6,8
1104,685,1104→685,1,4
436,436,436,0,2
436,1009,436→1009,1,1
436,802,436→802,1,1
436,549,436→802→549,2,3
436,15,436→802→549→15,3,4
436,351,436→1009→351,2,4
436,1113,436→802→549→15→1113,4,5
436,310,436→802→1009→477→581→310,5,6
436,129,436→802→129,2,2
436,908,436→1009→351→908,3,3
436,266,436→310→258→266,3,10
436,1096,436→802→549→15→1113→1096,5,6
436,900,436→1009→351→908→900,4,4
436,477,436→1009→477,2,18
436,581,436→802→129→581,3,3
436,428,436→428,1,7
436,149,436→428→149,2,8
436,258,436→802→1009→477→581→310→258,6,8
436,10703,436→428→149→15→362→802→10703,6,18
436,287,436→1009→351→908→287,4,6
436,430,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430,13,32
436,255,436→1009→802→997→549→255,5,10
436,542,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430→542,14,35
436,81,436→1009→351→477→81,4,11
436,687,436→428→149→15→362→802→10703→382→466→484682516→940→590→687,12,35
436,590,436→428→149→15→362→802→10703→382→466→484682516→940→590,11,30
436,484682516,436→428→149→15→362→802→10703→382→466→484682516,9,28
436,672,436→1009→351→477→81→672,5,19
436,940,436→428→149→15→362→802→10703→382→466→484682516→940,10,29
436,997,436→1009→351→477→266→258→81→997,7,13
436,250,436→1009→351→477→266→258→250,6,12
436,466,436→428→149→15→362→802→10703→382→466,8,27
436,382,436→428→149→15→362→802→10703→382,7,29
436,443,436→428→149→15→362→802→10703→382→466→443,9,29
436,986,436→428→149→15→362→802→10703→382→466→443→986,10,30
436,564,436→310→258→564,3,8
436,971,436→428→149→15→362→802→10703→382→466→443→971,10,43
436,484682470,436→428→149→15→362→802→10703→382→466→484682470,9,44
436,502,436→428→149→15→362→802→10703→382→466→502,9,45
436,17,436→428→149→15→362→802→10703→997→313→10→17,10,53
436,1089,436→428→149→15→362→802→10703→382→466→484682516→940→590→1089,12,38
436,1061,436→428→149→15→362→802→10703→997→313→1061,9,51
436,10,436→428→149→15→362→802→10703→997→313→1061→10,10,52
351,287,351→287,1,3
351,443,351→900→477→436→581→129→997→443,7,40
351,634,351→900→477→436→581→129→997→313→634,8,26
351,336,351→477→436→581→129→997→313→17→336,8,52
351,10,351→900→477→436→581→129→997→10703→982→1089→382→466→443→484682516→430→542→0→834→842→851→10,20,63
351,628,351→477→436→581→129→997→628,6,43
351,687,351→477→436→581→129→997→443→971→986→430→687,10,45
351,1079,351→477→436→581→129→997→313→215→1029→563807435→1088→1079,11,44
351,313,351→900→477→436→581→129→997→313,7,37
351,483,351→477→436→581→129→483,5,22
351,382,351→477→436→581→129→997→10703→982→1089→382,9,42
351,1089,351→477→436→581→129→10703→1089,6,27
351,971,351→900→477→436→581→129→997→10703→982→1089→382→466→443→986→971,14,56
351,986,351→477→436→581→129→997→443→484682516→986,8,33
1104,81,1104→549→81,2,12
1104,956,1104→549→81→672→956,4,18
1104,772,1104→549→81→672→956→940→1054→827→363→772,9,25
1104,810,1104→549→81→672→956→940→1054→827→363→772→810,10,26
1104,1108,1104→549→81→672→956→940→1054→827→363→772→810→1108,11,27
1104,814,1104→549→81→672→956→940→1054→827→363→772→810→814,11,31
1104,98,1104→549→81→672→956→98,5,33
262,262,262,0,1
262,685,262→685,1,1
262,1104,262→685→1104,2,2
262,81,262→629→1104→255→549→997→81,6,9
262,672,262→629→1104→255→549→997→81→672,7,13
262,956,262→629→1104→255→549→997→81→672→956,8,12
262,772,262→629→1104→255→549→997→81→672→956→940→1054→827→363→772,13,24
262,1108,262→629→1104→255→549→997→81→672→956→940→1054→827→363→772→810→1108,15,26
262,814,262→629→1104→255→549→997→81→672→956→940→1054→827→814,12,29
802,802,802,0,1
802,436,802→436,1,5
802,549,802→549,1,1
802,15,802→549→15,2,2
802,351,802→436→287→351,3,9
802,149,802→549→428→149,3,8
802,266,802→436→287→351→266,4,10
802,258,802→436→287→351→266→258,5,11
802,129,802→549→428→149→129,4,9
802,310,802→436→287→351→266→310,5,11
802,81,802→436→287→351→266→258→477→98→81,8,14
802,956,802→436→287→351→266→258→477→98→698→956,9,21
802,608,802→436→287→351→266→258→477→98→698→910→608,10,26
802,564,802→436→287→351→266→258→564,6,12
802,477,802→436→287→351→266→258→477,6,12
802,1125,802→436→287→351→266→258→477→98→698→910→608→1125,11,29
802,597,802→436→287→351→266→258→477→597,7,16
802,630,802→436→287→351→266→258→477→98→698→910→608→1125→630,12,27
802,910,802→436→287→351→266→258→477→98→698→956→680→608→910,12,24
