start_node,end_node,path,path_length,edges_used
382,382,382,0,1
382,971,382→466→971,2,2
382,466,382→466,1,1
382,484682470,382→484682470,1,3
382,250,382→466→484682516→250,3,13
382,258,382→466→603→310→258,4,10
382,484682516,382→466→484682516,2,3
382,333,382→466→603→250→258→333,5,25
382,597,382→466→603→310→258→597,5,19
382,1108,382→466→603→310→258→1108,5,19
382,605,382→466→603→258→159→605,5,30
382,484682520,382→466→971→484682520,3,4
382,28,382→466→579→28,3,4
382,502,382→484682470→502,2,6
382,579,382→466→579,2,2
382,900,382→466→603→258→56→900,5,28
382,159,382→466→603→258→159,4,26
382,814,382→466→603→310→258→597→814,6,20
463,484682516,463→466→484682516,2,7
463,382,463→423→382,2,4
463,423,463→423,1,3
463,463,463,0,1
463,466,463→466,1,1
463,484682512,463→466→484682516→484682512,3,4
463,632,463→632,1,4
463,250,463→466→603→250,3,10
463,310,463→466→603→310,3,7
463,258,463→466→603→310→258,4,9
463,581,463→466→603→310→581,4,6
463,484682470,463→423→382→484682470,3,5
463,333,463→466→603→250→258→333,5,9
463,1108,463→466→603→310→258→250→1108,6,13
382,139,382→466→579→28→139,4,9
382,1121,382→466→579→28→139→52→20→1121,7,20
382,20,382→466→579→28→139→52→20,6,9
382,655,382→466→579→966→566→655,5,20
382,311,382→466→579→966→311,4,14
382,451,382→466→579→966→311→334→451,6,17
382,961,382→466→579→28→139→961,5,43
382,966,382→466→579→966,3,12
382,566,382→466→579→566,3,16
382,334,382→466→780→334,3,14
382,827,382→466→603→310→258→597→814→1054→827,8,22
382,620,382→466→603→258→597→814→1054→910→620,8,26
382,582,382→466→603→258→597→814→1054→910→620→582,9,26
382,754,382→466→603→258→56→342→754,6,27
382,56,382→466→603→310→258→56,5,21
382,342,382→466→603→310→258→56→342,6,26
463,10704,463→10704,1,3
463,940,463→466→484682516→940,3,4
463,971,463→466→971,2,6
463,579,463→466→579,2,4
463,603,463→466→603,2,3
463,986,463→466→986,2,5
463,10703,463→10703,1,1
463,597,463→466→603→310→258→597,5,16
463,530,463→466→484682516→250→310→581→530,6,11
463,443,463→466→443,2,7
382,463,382→466→463,2,3
382,310,382→466→603→310,3,10
382,226,382→466→603→310→436→351→226,6,44
382,436,382→466→603→310→436,4,14
382,576073704,382→466→603→310→436→576073704,5,17
423,463,423→463,1,3
423,466,423→463→466,2,4
423,382,423→382,1,3
423,423,423,0,3
423,250,423→463→466→603→250,4,10
423,258,423→463→466→603→310→258,5,10
423,581,423→463→466→603→310→581,5,7
423,310,423→463→466→603→310,4,8
423,632,423→463→632,2,3
423,484682516,423→463→466→484682516,3,7
423,10703,423→382→10703,2,5
423,10704,423→463→10704,2,3
423,484682470,423→382→484682470,2,8
463,982,463→423→382→982,3,5
423,333,423→463→466→603→581→310→258→333,7,14
423,603,423→463→466→603,3,5
423,982,423→463→466→382→982,4,11
632,10704,632→10704,1,1
632,632,632,0,1
632,463,632→10704→463,2,2
632,423,632→10704→463→423,3,3
632,382,632→10704→463→423→382,4,4
10703,632,10703→632,1,1
10703,10704,10703→632→10704,2,2
10703,463,10703→632→10704→463,3,3
