start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
382,382,382,0,1,CA1,CA1
382,971,382→466→971,2,2,CA1→alv→fp,CA1
382,466,382→466,1,1,CA1→alv,CA1
382,484682470,382→484682470,1,3,CA1→ProS,CA1
382,250,382→466→484682516→250,3,13,CA1→alv→ccb→LSc,CA1
382,258,382→466→603→310→258,4,10,CA1→alv→fi→SF→LSr,CA1
382,484682516,382→466→484682516,2,3,CA1→alv→ccb,CA1
382,333,382→466→603→250→258→333,5,25,CA1→alv→fi→LSc→LSr→SH,CA1
382,597,382→466→603→310→258→597,5,19,CA1→alv→fi→SF→LSr→TTd,CA1
382,1108,382→466→603→310→258→1108,5,19,CA1→alv→fi→SF→LSr→ccg,CA1
382,605,382→466→603→258→159→605,5,30,CA1→alv→fi→LSr→AON→TTv,CA1
382,484682520,382→466→971→484682520,3,4,CA1→alv→fp→or,CA1
382,28,382→466→579→28,3,4,CA1→alv→ec→ENTl6a,CA1
382,502,382→484682470→502,2,6,CA1→ProS→SUB,CA1
382,579,382→466→579,2,2,CA1→alv→ec,CA1
382,900,382→466→603→258→56→900,5,28,CA1→alv→fi→LSr→ACB→aco,CA1
382,159,382→466→603→258→159,4,26,CA1→alv→fi→LSr→AON,CA1
382,814,382→466→603→310→258→597→814,6,20,CA1→alv→fi→SF→LSr→TTd→DP,CA1
463,484682516,463→466→484682516,2,7,CA3→alv→ccb,CA3
463,382,463→423→382,2,4,CA3→CA2→CA1,CA3
463,423,463→423,1,3,CA3→CA2,CA3
463,463,463,0,1,CA3,CA3
463,466,463→466,1,1,CA3→alv,CA3
463,484682512,463→466→484682516→484682512,3,4,CA3→alv→ccb→scwm,CA3
463,632,463→632,1,4,CA3→DG-sg,CA3
463,250,463→466→603→250,3,10,CA3→alv→fi→LSc,CA3
463,310,463→466→603→310,3,7,CA3→alv→fi→SF,CA3
463,258,463→466→603→310→258,4,9,CA3→alv→fi→SF→LSr,CA3
463,581,463→466→603→310→581,4,6,CA3→alv→fi→SF→TRS,CA3
463,484682470,463→423→382→484682470,3,5,CA3→CA2→CA1→ProS,CA3
463,333,463→466→603→250→258→333,5,9,CA3→alv→fi→LSc→LSr→SH,CA3
463,1108,463→466→603→310→258→250→1108,6,13,CA3→alv→fi→SF→LSr→LSc→ccg,CA3
382,139,382→466→579→28→139,4,9,CA1→alv→ec→ENTl6a→ENTl5,CA1
382,1121,382→466→579→28→139→52→20→1121,7,20,CA1→alv→ec→ENTl6a→ENTl5→ENTl3→ENTl2→ENTl1,CA1
382,20,382→466→579→28→139→52→20,6,9,CA1→alv→ec→ENTl6a→ENTl5→ENTl3→ENTl2,CA1
382,655,382→466→579→966→566→655,5,20,CA1→alv→ec→EPv→TR→COApl,CA1
382,311,382→466→579→966→311,4,14,CA1→alv→ec→EPv→BLAp,CA1
382,451,382→466→579→966→311→334→451,6,17,CA1→alv→ec→EPv→BLAp→BMAp→BLAv,CA1
382,961,382→466→579→28→139→961,5,43,CA1→alv→ec→ENTl6a→ENTl5→PIR,CA1
382,966,382→466→579→966,3,12,CA1→alv→ec→EPv,CA1
382,566,382→466→579→566,3,16,CA1→alv→ec→TR,CA1
382,334,382→466→780→334,3,14,CA1→alv→PA→BMAp,CA1
382,827,382→466→603→310→258→597→814→1054→827,8,22,CA1→alv→fi→SF→LSr→TTd→DP→ILA6a→ILA5,CA1
382,620,382→466→603→258→597→814→1054→910→620,8,26,CA1→alv→fi→LSr→TTd→DP→ILA6a→ORBm6a→ORBm5,CA1
382,582,382→466→603→258→597→814→1054→910→620→582,9,26,CA1→alv→fi→LSr→TTd→DP→ILA6a→ORBm6a→ORBm5→ORBm2/3,CA1
382,754,382→466→603→258→56→342→754,6,27,CA1→alv→fi→LSr→ACB→SI→OT,CA1
382,56,382→466→603→310→258→56,5,21,CA1→alv→fi→SF→LSr→ACB,CA1
382,342,382→466→603→310→258→56→342,6,26,CA1→alv→fi→SF→LSr→ACB→SI,CA1
463,10704,463→10704,1,3,CA3→DG-po,CA3
463,940,463→466→484682516→940,3,4,CA3→alv→ccb→cing,CA3
463,971,463→466→971,2,6,CA3→alv→fp,CA3
463,579,463→466→579,2,4,CA3→alv→ec,CA3
463,603,463→466→603,2,3,CA3→alv→fi,CA3
463,986,463→466→986,2,5,CA3→alv→ccs,CA3
463,10703,463→10703,1,1,CA3→DG-mo,CA3
463,597,463→466→603→310→258→597,5,16,CA3→alv→fi→SF→LSr→TTd,CA3
463,530,463→466→484682516→250→310→581→530,6,11,CA3→alv→ccb→LSc→SF→TRS→df,CA3
463,443,463→466→443,2,7,CA3→alv→dhc,CA3
382,463,382→466→463,2,3,CA1→alv→CA3,CA1
382,310,382→466→603→310,3,10,CA1→alv→fi→SF,CA1
382,226,382→466→603→310→436→351→226,6,44,CA1→alv→fi→SF→fx→BST→LPO,CA1
382,436,382→466→603→310→436,4,14,CA1→alv→fi→SF→fx,CA1
382,576073704,382→466→603→310→436→576073704,5,17,CA1→alv→fi→SF→fx→PeF,CA1
423,463,423→463,1,3,CA2→CA3,CA2
423,466,423→463→466,2,4,CA2→CA3→alv,CA2
423,382,423→382,1,3,CA2→CA1,CA2
423,423,423,0,3,CA2,CA2
423,250,423→463→466→603→250,4,10,CA2→CA3→alv→fi→LSc,CA2
423,258,423→463→466→603→310→258,5,10,CA2→CA3→alv→fi→SF→LSr,CA2
423,581,423→463→466→603→310→581,5,7,CA2→CA3→alv→fi→SF→TRS,CA2
423,310,423→463→466→603→310,4,8,CA2→CA3→alv→fi→SF,CA2
423,632,423→463→632,2,3,CA2→CA3→DG-sg,CA2
423,484682516,423→463→466→484682516,3,7,CA2→CA3→alv→ccb,CA2
423,10703,423→382→10703,2,5,CA2→CA1→DG-mo,CA2
423,10704,423→463→10704,2,3,CA2→CA3→DG-po,CA2
423,484682470,423→382→484682470,2,8,CA2→CA1→ProS,CA2
463,982,463→423→382→982,3,5,CA3→CA2→CA1→FC,CA3
423,333,423→463→466→603→581→310→258→333,7,14,CA2→CA3→alv→fi→TRS→SF→LSr→SH,CA2
423,603,423→463→466→603,3,5,CA2→CA3→alv→fi,CA2
423,982,423→463→466→382→982,4,11,CA2→CA3→alv→CA1→FC,CA2
632,10704,632→10704,1,1,DG-sg→DG-po,DG-sg
632,632,632,0,1,DG-sg,DG-sg
632,463,632→10704→463,2,2,DG-sg→DG-po→CA3,DG-sg
632,423,632→10704→463→423,3,3,DG-sg→DG-po→CA3→CA2,DG-sg
632,382,632→10704→463→423→382,4,4,DG-sg→DG-po→CA3→CA2→CA1,DG-sg
10703,632,10703→632,1,1,DG-mo→DG-sg,DG-mo
10703,10704,10703→632→10704,2,2,DG-mo→DG-sg→DG-po,DG-mo
10703,463,10703→632→10704→463,3,3,DG-mo→DG-sg→DG-po→CA3,DG-mo
10703,423,10703→632→10704→463→423,4,4,DG-mo→DG-sg→DG-po→CA3→CA2,DG-mo
10704,10704,10704,0,1,DG-po,DG-po
10704,382,10704→463→423→382,3,5,DG-po→CA3→CA2→CA1,DG-po
10704,10703,10704→632→10703,2,2,DG-po→DG-sg→DG-mo,DG-po
10704,596,10704→463→466→603→310→564→596,6,9,DG-po→CA3→alv→fi→SF→MS→NDB,DG-po
10704,310,10704→463→466→603→310,4,7,DG-po→CA3→alv→fi→SF,DG-po
10703,382,10703→632→10704→463→423→382,5,5,DG-mo→DG-sg→DG-po→CA3→CA2→CA1,DG-mo
463,564,463→466→603→310→564,4,7,CA3→alv→fi→SF→MS,CA3
463,596,463→466→603→310→564→596,5,10,CA3→alv→fi→SF→MS→NDB,CA3
484682470,382,484682470→382,1,1,ProS→CA1,ProS
484682470,502,484682470→502,1,1,ProS→SUB,ProS
484682470,484682470,484682470,0,1,ProS,ProS
484682470,466,484682470→466,1,3,ProS→alv,ProS
484682470,579,484682470→466→579,2,3,ProS→alv→ec,ProS
484682470,139,484682470→466→579→28→139,4,6,ProS→alv→ec→ENTl6a→ENTl5,ProS
484682470,28,484682470→466→579→28,3,5,ProS→alv→ec→ENTl6a,ProS
484682470,743,484682470→502→743,2,7,ProS→SUB→ENTm6,ProS
484682470,603,484682470→466→603,2,14,ProS→alv→fi,ProS
484682470,310,484682470→466→603→310,3,21,ProS→alv→fi→SF,ProS
484682470,564,484682470→466→603→310→564,4,23,ProS→alv→fi→SF→MS,ProS
484682470,566,484682470→466→579→566,3,16,ProS→alv→ec→TR,ProS
484682470,258,484682470→466→603→310→258,4,21,ProS→alv→fi→SF→LSr,ProS
484682470,311,484682470→466→579→966→311,4,15,ProS→alv→ec→EPv→BLAp,ProS
484682470,56,484682470→466→603→258→56,4,26,ProS→alv→fi→LSr→ACB,ProS
484682470,780,484682470→466→579→780,3,11,ProS→alv→ec→PA,ProS
484682470,655,484682470→466→579→966→566→655,5,26,ProS→alv→ec→EPv→TR→COApl,ProS
484682470,334,484682470→466→579→966→311→334,5,16,ProS→alv→ec→EPv→BLAp→BMAp,ProS
484682470,802,484682470→466→603→310→436→802,5,26,ProS→alv→fi→SF→fx→sm,ProS
484682470,15,484682470→466→603→310→436→15,5,39,ProS→alv→fi→SF→fx→PT,ProS
484682470,814,484682470→466→603→258→597→814,5,26,ProS→alv→fi→LSr→TTd→DP,ProS
